time_stamps,processed_1_not_processed_0
2002210.1735,0
2002210.1740,0
2002210.1915,0
2002210.2050,0
2002211.1820,0
2002211.1955,0
2002211.2000,0
2002212.1900,0
2002212.1905,0
2002213.1805,0
2002213.1810,0
2002213.1945,0
2002213.1950,0
2002214.1850,0
2002215.1755,0
2002215.1930,0
2002215.1935,0
2002216.1835,0
2002216.1840,0
2002216.2015,0
2002217.1740,0
2002217.1745,0
2002217.1920,0
2002217.1925,0
2002218.1825,0
2002218.1830,0
2002218.2005,0
2002219.1730,0
2002220.1810,0
2002220.1815,0
2002220.1950,0
2002220.1955,0
2002221.1855,0
2002221.1900,0
2002222.1800,0
2002222.1805,0
2002222.1940,0
2002223.1845,0
2002223.2020,0
2002224.1745,0
2002224.1750,0
2002224.1925,0
2002224.1930,0
2002225.1830,0
2002225.1835,0
2002225.2010,0
2002226.1735,0
2002226.1740,0
2002226.1915,0
2002226.2050,0
2002227.1820,0
2002227.1955,0
2002227.2000,0
2002228.1900,0
2002228.1905,0
2002229.1805,0
2002229.1810,0
2002229.1945,0
2002229.1950,0
2002230.1850,0
2002231.1755,0
2002231.1930,0
2002231.1935,0
2002232.1835,0
2002232.1840,0
2002232.2015,0
2002233.1740,0
2002233.1745,0
2002233.1920,0
2002233.1925,0
2002234.1825,0
2002234.1830,0
2002234.2005,0
2002235.1730,0
2002235.1905,0
2002235.1910,0
2002236.1810,0
2002236.1815,0
2002236.1950,0
2002236.1955,0
2002237.1855,0
2002237.1900,0
2002238.1800,0
2002238.1805,0
2002238.1940,0
2002239.1845,0
2002239.2020,0
2002240.1745,0
2002240.1750,0
2002240.1925,0
2002240.1930,0
2002241.1830,0
2002241.1835,0
2002241.2010,0
2002242.1735,0
2002242.1740,0
2002242.1915,0
2002242.2050,0
2002243.1820,0
2002243.1955,0
2002243.2000,0
2002244.1900,0
2002244.1905,0
2002245.1805,0
2002245.1810,0
2002245.1945,0
2002245.1950,0
2002246.1850,0
2002246.2025,0
2002247.1755,0
2002247.1930,0
2002247.1935,0
2002248.1835,0
2002248.1840,0
2002248.2015,0
2002249.1740,0
2002249.1745,0
2002249.1920,0
2002249.1925,0
2002250.1825,0
2002250.1830,0
2002250.2005,0
2002251.1730,0
2002251.1905,0
2002251.1910,0
2002252.1810,0
2002252.1815,0
2002252.1950,0
2002252.1955,0
2002253.1855,0
2002253.1900,0
2002254.1800,0
2002254.1805,0
2002254.1940,0
2002255.1845,0
2002255.2020,0
2002256.1745,0
2002256.1750,0
2002256.1925,0
2002256.1930,0
2002257.1830,0
2002257.1835,0
2002257.2010,0
2002258.1735,0
2002258.1740,0
2002258.1915,0
2002258.2050,0
2002259.1820,0
2002259.1955,0
2002259.2000,0
2002260.1900,0
2002260.1905,0
2002261.1805,0
2002261.1810,0
2002261.1945,0
2002261.1950,0
2002262.1850,0
2002263.1755,0
2002263.1930,0
2002263.1935,0
2002264.1835,0
2002264.1840,0
2002264.2015,0
2002265.1740,0
2002265.1745,0
2002265.1920,0
2002265.1925,0
2002266.1825,0
2002266.1830,0
2002266.2005,0
2002267.1730,0
2002267.1905,0
2002267.1910,0
2002268.1810,0
2002268.1815,0
2002268.1950,0
2002268.1955,0
2002269.1855,0
2002269.1900,0
2002270.1800,0
2002270.1805,0
2002270.1940,0
2002271.1840,0
2002271.1845,0
2002271.2020,0
2002272.1745,0
2002272.1750,0
2002272.1925,0
2002272.1930,0
2002273.1830,0
2002273.1835,0
2002273.2010,0
2002274.1735,0
2002274.1740,0
2002274.1915,0
2002274.2050,0
2002275.1815,0
2002275.1820,0
2002275.1955,0
2002275.2000,0
2002276.1900,0
2002276.1905,0
2002277.1805,0
2002277.1810,0
2002277.1945,0
2002277.1950,0
2002278.1850,0
2002278.2025,0
2002279.1755,0
2002279.1930,0
2002279.1935,0
2002280.1835,0
2002280.1840,0
2002280.2015,0
2002281.1740,0
2002281.1745,0
2002281.1920,0
2002281.1925,0
2002282.1825,0
2002282.2000,0
2002282.2005,0
2002283.1730,0
2002283.1905,0
2002283.1910,0
2002284.1810,0
2002284.1815,0
2002284.1950,0
2002284.1955,0
2002285.1855,0
2002285.1900,0
2002286.1800,0
2002286.1940,0
2002287.1840,0
2002287.1845,0
2002287.2020,0
2002288.1745,0
2002288.1750,0
2002288.1925,0
2002288.1930,0
2002289.1830,0
2002289.1835,0
2002289.2010,0
2002290.1735,0
2002290.1740,0
2002290.1915,0
2002290.2050,0
2002291.1815,0
2002291.1820,0
2002291.1955,0
2002291.2000,0
2002292.1900,0
2002292.1905,0
2002293.1805,0
2002293.1810,0
2002293.1945,0
2002293.1950,0
2002294.1850,0
2002294.2025,0
2002295.1755,0
2002295.1930,0
2002295.1935,0
2002296.1835,0
2002296.1840,0
2002296.2015,0
2002297.1740,0
2002297.1745,0
2002297.1920,0
2002297.1925,0
2002298.1825,0
2002298.2000,0
2002298.2005,0
2002299.0710,0
2002299.1730,0
2002299.1905,0
2002299.1910,0
2002300.1810,0
2002300.1815,0
2002300.1950,0
2002300.1955,0
2002301.1855,0
2002301.1900,0
2002302.1800,0
2002302.1805,0
2002302.1940,0
2002303.1840,0
2002303.1845,0
2002303.2020,0
2002304.1745,0
2002304.1750,0
2002304.1925,0
2002304.1930,0
2002305.1830,0
2002305.1835,0
2002305.2010,0
2002306.1735,0
2002306.1740,0
2002306.1915,0
2002306.2050,0
2002307.1815,0
2002307.1820,0
2002307.1955,0
2002307.2000,0
2002308.1900,0
2002308.1905,0
2002309.1805,0
2002309.1810,0
2002309.1945,0
2002309.1950,0
2002310.1850,0
2002310.2025,0
2002311.1755,0
2002311.1930,0
2002311.1935,0
2002312.1835,0
2002312.1840,0
2002312.2015,0
2002313.1740,0
2002313.1745,0
2002313.1920,0
2002313.1925,0
2002314.1825,0
2002314.2000,0
2002314.2005,0
2002315.1730,0
2002315.1905,0
2002315.1910,0
2002316.1810,0
2002316.1815,0
2002316.1950,0
2002316.1955,0
2002317.1855,0
2002317.1900,0
2002318.1800,0
2002318.1935,0
2002318.1940,0
2002319.1840,0
2002319.1845,0
2002319.2020,0
2002320.1745,0
2002320.1750,0
2002320.1925,0
2002320.1930,0
2002321.1830,0
2002321.1835,0
2002321.2010,0
2002322.1735,0
2002322.1740,0
2002322.1915,0
2002322.2050,0
2002323.1815,0
2002323.1820,0
2002323.1955,0
2002323.2000,0
2002324.1900,0
2002324.1905,0
2002325.1805,0
2002325.1810,0
2002325.1945,0
2002325.1950,0
2002326.1850,0
2002326.2025,0
2002327.1755,0
2002327.1930,0
2002327.1935,0
2002328.1835,0
2002328.1840,0
2002328.2015,0
2002329.1740,0
2002329.1745,0
2002329.1920,0
2002329.1925,0
2002330.1825,0
2002330.2005,0
2002331.1730,0
2002331.1905,0
2002331.1910,0
2002332.1810,0
2002332.1815,0
2002332.1950,0
2002332.1955,0
2002333.1855,0
2002333.1900,0
2002334.1800,0
2002334.1805,0
2002334.1940,0
2002335.1840,0
2002335.1845,0
2002335.2020,0
2002336.1745,0
2002336.1750,0
2002336.1925,0
2002336.1930,0
2002337.1830,0
2002337.1835,0
2002337.2010,0
2002338.1735,0
2002338.1740,0
2002338.1915,0
2002338.2050,0
2002339.1820,0
2002339.1955,0
2002339.2000,0
2002340.1900,0
2002340.1905,0
2002341.1805,0
2002341.1810,0
2002341.1945,0
2002341.1950,0
2002342.1850,0
2002343.1755,0
2002343.1930,0
2002343.1935,0
2002344.1835,0
2002344.1840,0
2002344.2015,0
2002345.1745,0
2002345.1920,0
2002345.1925,0
2002346.1825,0
2002346.1830,0
2002346.2005,0
2002347.1730,0
2002347.1905,0
2002347.1910,0
2002348.1810,0
2002348.1815,0
2002348.1950,0
2002348.1955,0
2002349.1855,0
2002349.1900,0
2002350.1800,0
2002350.1805,0
2002350.1940,0
